month,bunker_type,bunker_sales
1998-01,Marine Fuel Oil 180 cst,368.799
1998-01,Marine Fuel Oil 380 cst,1025.214
1998-01,Marine Fuel Oil 500 cst +,0
1998-01,Low-Sulfur Marine Gas Oil,0
1998-01,Low-Sulfur Fuel Oil 100 cst,0
1998-01,Low-Sulfur Fuel Oil 180 cst,0
1998-01,Low-Sulfur Fuel Oil 380 cst,0
1998-01,Low-Sulfur Fuel Oil 500 cst,0
1998-01,Ultra Low-Sulfur Fuel Oil,0
1998-01,Others,81.063
1998-02,Marine Gas Oil,96.608
1998-02,Marine Diesel Oil,35.905
1998-02,Marine Fuel Oil 180 cst,331.733
1998-02,Marine Fuel Oil 380 cst,890.023
1998-02,Marine Fuel Oil 500 cst +,0
1998-02,Low-Sulfur Marine Gas Oil,0
1998-02,Low-Sulfur Fuel Oil 100 cst,0
1998-02,Low-Sulfur Fuel Oil 180 cst,0
1998-02,Low-Sulfur Fuel Oil 380 cst,0
1998-02,Low-Sulfur Fuel Oil 500 cst,0
1998-02,Ultra Low-Sulfur Fuel Oil,0
1998-02,Others,64.309
1998-03,Marine Gas Oil,108.065
1998-03,Marine Diesel Oil,37.184
1998-03,Marine Fuel Oil 180 cst,299.026
1998-03,Marine Fuel Oil 380 cst,993.163
1998-03,Marine Fuel Oil 500 cst +,0
1998-03,Low-Sulfur Marine Gas Oil,0
1998-03,Low-Sulfur Fuel Oil 100 cst,0
1998-03,Low-Sulfur Fuel Oil 180 cst,0
1998-03,Low-Sulfur Fuel Oil 380 cst,0
1998-03,Low-Sulfur Fuel Oil 500 cst,0
1998-03,Ultra Low-Sulfur Fuel Oil,0
1998-03,Others,74.66
1998-04,Marine Gas Oil,101.059
1998-04,Marine Diesel Oil,31.196
1998-04,Marine Fuel Oil 180 cst,274.996
1998-04,Marine Fuel Oil 380 cst,886.649
1998-04,Marine Fuel Oil 500 cst +,0
1998-04,Low-Sulfur Marine Gas Oil,0
1998-04,Low-Sulfur Fuel Oil 100 cst,0
1998-04,Low-Sulfur Fuel Oil 180 cst,0
1998-04,Low-Sulfur Fuel Oil 380 cst,0
1998-04,Low-Sulfur Fuel Oil 500 cst,0
1998-04,Ultra Low-Sulfur Fuel Oil,0
1998-04,Others,57.208
1998-05,Marine Gas Oil,118.269
1998-05,Marine Diesel Oil,38.896
1998-05,Marine Fuel Oil 180 cst,313.724
1998-05,Marine Fuel Oil 380 cst,1046.756
1998-05,Marine Fuel Oil 500 cst +,0
1998-05,Low-Sulfur Marine Gas Oil,0
1998-05,Low-Sulfur Fuel Oil 100 cst,0
1998-05,Low-Sulfur Fuel Oil 180 cst,0
1998-05,Low-Sulfur Fuel Oil 380 cst,0
1998-05,Low-Sulfur Fuel Oil 500 cst,0
1998-05,Ultra Low-Sulfur Fuel Oil,0
1998-05,Others,75.881
1998-06,Marine Gas Oil,96.575
1998-06,Marine Diesel Oil,30.528
1998-06,Marine Fuel Oil 180 cst,275.433
1998-06,Marine Fuel Oil 380 cst,958.942
1998-06,Marine Fuel Oil 500 cst +,0
1998-06,Low-Sulfur Marine Gas Oil,0
1998-06,Low-Sulfur Fuel Oil 100 cst,0
1998-06,Low-Sulfur Fuel Oil 180 cst,0
1998-06,Low-Sulfur Fuel Oil 380 cst,0
1998-06,Low-Sulfur Fuel Oil 500 cst,0
1998-06,Ultra Low-Sulfur Fuel Oil,0
1998-06,Others,61.946
